Paper,Authors,Title,Track,Decision,Metadatata
11,Stefan Fenz,Supporting complex decision making by semantic technologies,In-Use Track,ACCEPT,public
28,"Ewelina Dera, Flavius Frasincar, Kim Schouten and Lisa Zhuang",SASOBUS: Semi-automatic Sentiment Domain Ontology Building Using Synsets,NLP and IR,ACCEPT,public
39,Nicolas Heist and Heiko Paulheim,Entity Extraction from Wikipedia List Pages,Knowledge Graphs,ACCEPT,public
43,Victor Charpenay and Sebastian Käbisch,On Modeling The Physical World as a Collection of Things: the W3C Thing Description Ontology,In-Use Track,ACCEPT,public
48,"Basel Shbita, Craig Knoblock, Yao-Yi Chiang, Weiwei Duan, Johannes Uhl and Stefan Leyk",Building Linked Spatio-Temporal Data from Vectorized Historical Maps,Knowledge Graphs,ACCEPT,public
52,"Prodromos Kolyvakis, Alexandros Kalousis and Dimitris Kiritsis",Hyperbolic Knowledge Graph Embeddings for Knowledge Base Completion,Machine Learning,ACCEPT,public
53,"Ilaria Tiddi, Daniel Balliet and Annette Ten Teije",Fostering Scientific Meta-Analyses with Knowledge Graphs : a Case-Study,Science of Science,ACCEPT,public
60,"Fabian Kirstein, Kyriakos Stefanidis, Benjamin Dittwald, Simon Dutkowski, Sebastian Urbanek and Manfred Hauswirth",Piveau: A Large-scale Open Data Management Platform based on Semantic Web Technologies,In-Use Track,ACCEPT,public
62,Sven Hertling and Heiko Paulheim,"The Knowledge Graph Track at OAEI - Gold Standards, Baselines, and the Golden Hammer Bias",Knowledge Graphs,ACCEPT,public
66,"Qingxia Liu, Yue Chen, Gong Cheng, Evgeny Kharlamov, Junyou Li and Yuzhong Qu",Entity Summarization with User Feedback,Knowledge Graphs,ACCEPT,public
69,"Endri Kacupaj, Hamid Zafar, Jens Lehmann and Maria Maleshkova",VQuAnDa: Verbalization QUestion ANswering DAtaset,Resources Track,ACCEPT,public
72,"Qingxia Liu, Gong Cheng, Kalpa Gunaratna and Yuzhong Qu",ESBM: An Entity Summarization BenchMark,Resources Track,ACCEPT,public
